"Página","Selector","Origen","ID","Descripción","Impacto","WCAG","Solución","Ayuda (URL)"
"https://www.suntransfers.com/es","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/about-us","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-alicante","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-alicante-a-albir","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-alicante-a-alicante-ciudad-todas-las-zonas","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-alicante-a-benidorm","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-alicante-a-calpe","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-alicante-a-el-campello","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-alicante-a-torrevieja","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-alicante/destinations","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-antalya","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-antalya-a-alanya","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-antalya-a-belek","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-antalya-a-kumkoy-side","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-antalya-a-kundu","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-antalya-a-lara","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-antalya-a-side","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-antalya/destinations","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-barcelona","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-barcelona-a-barcelona-ciudad-todas-las-areas","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-barcelona-a-lloret-de-mar-city-centre","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-barcelona-a-puerto-de-cruceros-de-barcelona-moll-de-barcelona","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-barcelona-a-salou","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-barcelona-a-santa-susanna","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-barcelona-a-sitges","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-barcelona/destinations","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-cancun","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-corfu","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-creta-heraclion","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-dalaman","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-faro","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-faro","body","sitemap","link-in-text-block","Ensure links are distinguished from surrounding text in a way that does not rely on color","serious","cat.color, wcag2a, wcag141, TTv5, TT13.a, EN-301-549, EN-9.1.4.1, RGAAv4, RGAA-10.6.1","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.11/link-in-text-block?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-faro-a-albufeira","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-faro-a-alvor","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-faro-a-carvoeiro","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-faro-a-lagos","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-faro-a-quarteira","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-faro-a-vilamoura","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-faro/destinations","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-fuerteventura","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-gerona","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-gran-canaria","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-gran-canaria","body","sitemap","link-in-text-block","Ensure links are distinguished from surrounding text in a way that does not rely on color","serious","cat.color, wcag2a, wcag141, TTv5, TT13.a, EN-301-549, EN-9.1.4.1, RGAAv4, RGAA-10.6.1","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.11/link-in-text-block?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-gran-canaria-a-costa-meloneras","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-gran-canaria-a-las-palmas-de-gran-canaria","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-gran-canaria-a-maspalomas","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-gran-canaria-a-playa-ingles","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
